"SampleID","ID.2","ID","BD","Strain","Light_treatment","Temp","Replicate","Perc_totEvents","Perc_Diatoms","Perc_LiveDiatoms","Bodipy_Median","Size_Median","Chlorophyll_Median","Bodipy_Sd","Size_Sd","Chlorophyll_Sd","Perc_Unhealthy","SSC_Med","SSC_SD","Bodipy_scaled","treatment","mean_lightBD","fold_change","treatment_combo","lipid_per_size","prop_dead","growthrateB"
"5L_008_BD_016.fcs","595CHR2bd","595CHR2","bd",595,"Light",4,2,100,50.3,65.7,37801,186048,22448,24027,55150,15433,34.3,59840,27910,0.800631168721142,"Light4",38290,0.987229041525202,"Light_4C",0.203178749570003,0.561290323,0.24535532
"5L_009_BD_018.fcs","595CHR3bd","595CHR3","bd",595,"Light",4,3,100,35.3,58.9,41132,213056,22662,23277,51924,14796,41.1,60672,31306,0.871182276443428,"Light4",38290,1.07422303473492,"Light_4C",0.193057224391709,0.435897436,0.276603978
"2D_004_BD_008.fcs","633DLR1bd","633DLR1","bd",633,"Dark",1,1,100,54.7,92.6,4082,85184,2152,2938,48372,1383,7.42,70016,40931,0.0864574067014021,"Dark1",21427.3333333333,0.19050434025077,"Dark_1C",0.0479197971450038,0.542857143,0.051378143
"2D_005_BD_010.fcs","633DLR2bd","633DLR2","bd",633,"Dark",1,2,100,42.9,91.3,3462,81024,2080,1974,46160,1295,8.72,64064,37794,0.0733257084762994,"Dark1",21427.3333333333,0.16156933511714,"Dark_1C",0.0427280805687204,0.425,0.055462595
"2D_006_BD_012.fcs","633DLR3bd","633DLR3","bd",633,"Dark",1,3,100,51.9,92.3,3427,81920,1987,2754,48214,1350,7.75,69312,40303,0.0725844029313339,"Dark1",21427.3333333333,0.159935907407984,"Dark_1C",0.04183349609375,0.703125,0.074858731
"2l_001_BD_002.fcs","633CLR1bd","633CLR1","bd",633,"Light",1,1,100,75.5,88.4,23096,111424,20137,11928,31910,9856,11.6,32000,16189,0.489176939043504,"Light1",21427.3333333333,1.07787561059083,"Light_1C",0.20728029867892,0.257425743,0.339084172
"2l_002_BD_004.fcs","633CLR2bd","633CLR2","bd",633,"Light",1,2,100,73.2,87.8,20520,115072,21160,11652,32816,11216,12.2,32256,17822,0.434616850934045,"Light1",21427.3333333333,0.957655331196914,"Light_1C",0.178323136818687,0.437837838,0.310299404
"2l_003_BD_006.fcs","633CLR3bd","633CLR3","bd",633,"Light",1,3,100,75.7,86.9,20666,112960,21310,12904,32571,11523,13.1,32064,18155,0.437709154064472,"Light1",21427.3333333333,0.964469058212252,"Light_1C",0.182949716713881,0.31797235,0.329146199
"5D_010_BD_020.fcs","633DHR1bd","633DHR1","bd",633,"Dark",4,1,100,49.4,91.2,4057,100096,1526,2390,51680,1168,8.77,84480,39731,0.0859279027407125,"Dark4",17451.6666666667,0.232470633177347,"Dark_4C",0.0405310901534527,0.770491803,0.046889689
"5D_011_BD_022.fcs","633DHR2bd","633DHR2","bd",633,"Dark",4,2,100,49.2,91.3,4082,101824,1606,2307,51394,1067,8.7,86336,38613,0.0864574067014021,"Dark4",17451.6666666667,0.233903161111642,"Dark_4C",0.0400887806411062,0.815384615,0.049253081
"5D_012_BD_024.fcs","633DHR3bd","633DHR3","bd",633,"Dark",4,3,100,43.4,92.4,3708,99648,1555,1926,46851,1000,7.55,81792,36489,0.0785360274494853,"Dark4",17451.6666666667,0.212472543214593,"Dark_4C",0.0372109826589595,0.887755102,0.072037896
"5L_007_BD_014.fcs","633CHR1bd","633CHR1","bd",633,"Light",4,1,100,72.7,74.1,17862,117376,19668,12487,38438,14340,25.9,33856,19358,0.378319989833524,"Light4",17451.6666666667,1.02351255849489,"Light_4C",0.152177617230098,0.351219512,0.257519017
"5L_008_BD_016.fcs","633CHR2bd","633CHR2","bd",633,"Light",4,2,100,73.9,74,17408,115712,18545,12421,39038,13571,26,32768,18892,0.3687041979074,"Light4",17451.6666666667,0.997497851208099,"Light_4C",0.150442477876106,0.582857143,0.313137462
"5L_009_BD_018.fcs","633CHR3bd","633CHR3","bd",633,"Light",4,3,100,75.4,73.3,17085,116864,18986,11898,39126,13261,26.7,34240,19955,0.36186300673529,"Light4",17451.6666666667,0.978989590297011,"Light_4C",0.146195577765608,0.310756972,0.303984112
"2D_004_BD_008.fcs","654DLR1bd","654DLR1","bd",654,"Dark",1,1,100,48.9,92.2,2350,79104,1521,1301,39487,940,7.8,59328,34175,0.0497733723048248,"Dark1",26395.6666666667,0.0890297649866771,"Dark_1C",0.0297077265372168,0.488764045,0.04218915
"2D_005_BD_010.fcs","654DLR2bd","654DLR2","bd",654,"Dark",1,2,100,44.8,90.5,2629,76416,1652,1992,41301,1912,9.51,54976,35051,0.0556826365061211,"Dark1",26395.6666666667,0.0995996817659464,"Dark_1C",0.0344037897822446,0.541935484,0.046158654
"2D_006_BD_012.fcs","654DLR3bd","654DLR3","bd",654,"Dark",1,3,100,47.4,91.4,1758,74432,1597,903,36013,1096,8.63,52800,31142,0.0372347185156945,"Dark1",26395.6666666667,0.0666018412113099,"Dark_1C",0.0236188736027515,0.426229508,0.045810208
"2l_001_BD_002.fcs","654CLR1bd","654CLR1","bd",654,"Light",1,1,100,75.4,96.3,26700,133824,26259,13681,38616,14826,3.69,40192,21432,0.565510230016521,"Light1",26395.6666666667,1.01152967027416,"Light_1C",0.199515781922525,0.118110236,0.290675243
"2l_002_BD_004.fcs","654CLR2bd","654CLR2","bd",654,"Light",1,2,100,75.3,96.4,25337,135616,25217,12885,38618,13163,3.58,38528,18950,0.536641674079722,"Light1",26395.6666666667,0.959892406581888,"Light_1C",0.186828987730061,0.140939597,0.333660078
"2l_003_BD_006.fcs","654CLR3bd","654CLR3","bd",654,"Light",1,3,100,80.7,96.7,27150,137856,26764,13601,37132,15254,3.29,40768,19636,0.575041301308934,"Light1",26395.6666666667,1.02857792314395,"Light_1C",0.196944637883008,0.251908397,0.348814724
"5D_010_BD_020.fcs","654DHR1bd","654DHR1","bd",654,"Dark",4,1,100,39.1,90.4,1832,79616,1639,1050,37123,788,9.57,56384,32409,0.0388020502393358,"Dark4",22077.3333333333,0.082981036357048,"Dark_4C",0.0230104501607717,0.678571429,0.04096115
"5D_011_BD_022.fcs","654DHR2bd","654DHR2","bd",654,"Dark",4,2,100,39,91,2544,77440,1725,2498,37803,955,8.98,54784,36413,0.0538823230397763,"Dark4",22077.3333333333,0.115231308129001,"Dark_4C",0.0328512396694215,0.695121951,0.061911666
"5D_012_BD_024.fcs","654DHR3bd","654DHR3","bd",654,"Dark",4,3,100,26.5,90,1751,75328,1728,757,34652,766,10,50368,31188,0.0370864574067014,"Dark4",22077.3333333333,0.0793121149897331,"Dark_4C",0.0232450084961767,0.873563218,0.094059989
"5L_007_BD_014.fcs","654CHR1bd","654CHR1","bd",654,"Light",4,1,100,67.8,88.2,22342,144704,17904,13652,39877,13400,11.8,37952,20441,0.473207099589105,"Light4",22077.3333333333,1.0119881628216,"Light_4C",0.154397943387881,0.216080402,0.328392919
"5L_008_BD_016.fcs","654CHR2bd","654CHR2","bd",654,"Light",4,2,100,65.1,82.3,23706,142016,17490,15762,40632,13448,17.7,37824,20715,0.502096835684331,"Light4",22077.3333333333,1.07377098683416,"Light_4C",0.16692485353763,0.132478632,0.30933127
"5L_009_BD_018.fcs","654CHR3bd","654CHR3","bd",654,"Light",4,3,100,67.1,86.4,20184,141504,16230,15150,39418,13057,13.6,38016,20635,0.427500317702376,"Light4",22077.3333333333,0.914240850344245,"Light_4C",0.14263907734057,0.2,0.267946948
